,accel_x,accel_y,accel_z
0,-0.620972,0.130005,1.908447
1,-0.20874,0.635376,1.049072
2,0.023071,0.07373,0.525879
3,-0.136963,-0.619873,0.843506
4,-0.458984,-0.323486,1.59668
5,-0.43103,0.471191,1.286865
6,0.045654,0.734131,0.248291
7,0.037964,-0.506714,0.40564
8,-0.273071,-0.581177,1.380615
9,-0.515381,0.269287,1.785278
10,-0.099487,0.610718,0.758545
11,0.061523,-0.051147,0.28833
12,-0.151611,-0.528564,0.914673
13,-0.476196,-0.226318,1.482178
14,-0.286133,0.523804,1.044922
15,0.072021,0.622803,0.351074
16,0.063354,-0.417603,0.353394
17,-0.321289,-0.466187,1.46814
18,-0.432617,0.381592,1.565063
19,-0.161987,0.623901,0.955444
20,0.040039,0.230225,0.493774
21,-0.068115,-0.551392,0.83606
22,-0.414795,-0.183716,1.542847
23,-0.340088,0.599121,1.249023
24,0.034668,0.459961,0.347656
25,0.077515,-0.298096,0.191406
26,-0.351318,-0.515747,1.399414
27,-0.4729,0.314331,1.611938
28,-0.120239,0.721924,0.625854
29,0.078247,0.080688,0.404663
30,-0.091309,-0.501099,0.841675
31,-0.485596,-0.427856,1.513062
32,-0.382446,0.64917,1.29126
33,0.033325,0.557373,0.293823
34,0.015381,-0.378662,0.181396
35,-0.28894,-0.551147,1.507568
36,-0.445679,0.500488,1.759521
37,-0.133545,0.792236,0.794556
38,0.057251,0.268188,0.295776
39,-0.138062,-0.67395,0.694824
40,-0.464722,0.202759,1.851685
41,-0.344604,0.819702,1.254517
42,0.104858,0.405273,0.152954
43,0.008789,-0.349731,0.458862
44,-0.314819,-0.57019,1.275269
45,-0.489624,0.539795,1.591675
46,-0.014893,0.769897,0.756226
47,0.074829,0.102295,0.309082
48,-0.146118,-0.41272,1.120239
49,-0.51416,-0.001953,1.817139
50,-0.265991,0.713379,0.919556
51,0.122681,0.241455,0.377075
52,-0.001831,-0.483765,0.492188
53,-0.437866,-0.459106,1.559937
54,-0.546753,0.640747,1.69104
55,0.018921,0.734863,0.421997
56,-0.009644,-0.303467,0.60144
57,-0.189331,-0.282349,1.207886
58,-0.605103,0.585083,1.960205
59,-0.176514,0.786133,0.938599
60,0.042236,0.22583,0.667603
61,-0.098389,-0.54834,0.920044
62,-0.464233,-0.256714,1.371948
63,-0.409668,0.576172,1.32666
64,0.007568,0.520264,0.248901
65,0.038574,-0.349609,0.383911
66,-0.34668,-0.545898,1.390137
67,-0.636719,0.851074,1.93042
68,-0.089111,0.798828,0.463623
69,0.101318,0.142456,0.213135
70,-0.097168,-0.479004,0.894287
71,-0.396606,-0.151611,1.4823
72,-0.435181,0.738647,1.064819
73,-0.00647,0.784668,0.132568
74,0.058838,-0.401611,0.372925
75,-0.238281,-0.512695,1.348877
76,-0.500854,0.448364,1.773804
77,-0.163452,0.693848,0.696899
78,0.048462,0.148315,0.142334
79,-0.035522,-0.52002,0.757324
80,-0.416992,-0.0802,1.466431
81,-0.423096,0.588257,1.292236
82,0.058594,0.531738,0.323486
83,0.070923,-0.428589,0.499634
84,-0.185669,-0.462769,1.260864
85,-0.478027,0.396118,1.661743
86,-0.178345,0.53125,0.865845
87,0.0979,0.555664,0.241211
88,0.005737,-0.558716,0.637939
89,-0.397827,-0.467407,1.416748
90,-0.5271,0.643066,1.548584
91,-0.003906,0.750122,0.541992
92,0.124146,-0.090698,0.496948
93,-0.20166,-0.563599,1.055908
94,-0.480103,0.128784,1.607422
95,-0.248657,0.705078,0.890869
96,0.170654,0.626465,0.302856
97,0.027222,-0.680908,0.502686
98,-0.268311,-0.251221,1.51709
99,-0.500366,0.57019,1.600342
100,0.059692,0.82251,0.329712
101,0.09375,0.087402,0.428467
102,-0.181396,-0.497803,1.270386
103,-0.473389,0.189453,1.567017
104,-0.357544,0.694458,0.860229
105,0.051147,0.410767,0.032593
106,0.032104,-0.502197,0.536987
107,-0.337891,-0.396484,1.348633
108,-0.520996,0.509766,1.623535
109,-0.084351,0.729614,0.607666
110,0.060547,-0.216064,0.401733
111,-0.103638,-0.402222,1.425537
112,-0.383301,0.486084,1.724854
113,-0.244263,0.813477,0.737549
114,0.142212,0.246826,0.306519
115,0.03418,-0.408325,0.533447
116,-0.30957,-0.157837,1.522095
117,-0.536499,0.804688,1.577881
118,0.035889,0.765015,0.205444
119,0.090454,-0.043823,0.315063
120,-0.229736,-0.347778,1.354248
121,-0.567383,0.381226,1.826782
122,-0.304199,0.839722,0.954468
123,0.111328,0.317749,0.01709
124,-0.076172,-0.608398,0.71936
125,-0.427612,-0.178101,1.67688
126,-0.536133,0.78894,1.281738
127,-0.03894,0.671753,0.369385
128,0.084595,-0.118652,0.354004
129,-0.233765,-0.519531,1.060059
130,-0.542969,0.284424,1.767212
131,-0.273315,0.824219,0.740112
132,0.080688,0.418091,0.205811
133,-0.011841,-0.408203,0.541016
134,-0.269653,-0.373779,1.401001
135,-0.547974,0.505249,1.36145
136,0.006226,0.777954,0.452026
137,0.106079,0.02063,0.342773
138,-0.057495,-0.369019,1.187012
139,-0.380493,-0.2052,1.354736
140,-0.411621,0.824951,1.292969
141,0.052612,0.681519,0.353027
142,0.034668,-0.327759,0.301025
143,-0.316406,-0.377563,1.517944
144,-0.541626,0.276978,1.590088
145,-0.15271,0.852661,0.714844
146,0.114258,0.33374,0.044556
147,-0.015747,-0.511963,0.825317
148,-0.309326,-0.120239,1.475342
149,-0.481445,0.582886,1.666992
150,0.079224,0.584229,0.302734
151,0.120361,0.020752,0.338623
152,-0.095947,-0.812744,0.921021
153,-0.547363,-0.030029,1.778687
154,-0.216064,0.60498,0.772705
155,0.096558,0.571411,0.333252
156,0.029297,-0.509155,0.415894
157,-0.310425,-0.517944,1.486938
158,-0.617554,0.505005,1.978394
159,-0.105103,0.724365,0.629395
160,0.118774,0.181763,0.451416
161,0.042114,-0.410767,0.86084
162,-0.417236,-0.040161,1.755737
163,-0.378174,0.82019,1.347046
164,0.155396,0.678467,0.250488
165,0.126709,0.146606,0.204102
166,-0.064819,-0.419556,1.024658
167,-0.44104,-0.039917,1.462769
168,-0.262817,0.719116,0.994141
169,0.105469,0.584717,0.188843
170,0.052002,-0.200195,0.273804
171,-0.223389,-0.529053,1.44519
172,-0.533813,0.484497,1.84082
173,-0.130981,0.823975,0.733887
174,0.146606,0.161621,0.412109
175,0.004883,-0.269043,0.803955
176,-0.310669,-0.309448,1.512939
177,-0.448486,0.73291,1.478638
178,0.037964,0.669067,0.471436
179,0.198242,0.218384,0.458252
180,-0.102417,-0.572998,0.858154
181,-0.472656,-0.153442,1.785767
182,-0.353271,0.778809,1.168579
183,0.159912,0.645508,0.14563
184,0.107666,-0.088989,0.253418
185,-0.293457,-0.56897,1.411011
186,-0.490356,0.313354,1.685303
187,-0.110718,0.731934,0.730347
188,0.188477,0.607178,0.170898
189,0.038208,-0.414551,0.588989
190,-0.20459,-0.303345,1.25061
191,-0.467896,0.588989,1.414185
192,-0.199829,0.902954,0.653809
193,0.135498,0.393188,0.147583
194,0.069946,-0.205444,0.763672
195,-0.360962,-0.161011,1.53186
196,-0.657837,1.148315,1.91748
197,-0.073608,0.793091,0.328003
198,0.199463,0.37207,0.153809
199,0.042114,-0.423096,0.869751
200,-0.342773,-0.306152,1.384155
201,-0.560303,0.93811,1.640259
202,0.055176,0.640015,0.338135
203,0.182861,0.294312,0.145386
204,-0.074219,-0.404785,1.155884
205,-0.415527,0.141235,1.713867
206,-0.275024,0.707642,1.18396
207,0.234009,0.459473,0.321533
208,0.191284,-0.111816,0.670532
209,-0.06958,-0.366821,1.19519
210,-0.516235,-0.172119,1.502319
211,-0.379761,0.594849,1.196655
212,0.108765,0.733398,0.365234
213,0.123047,-0.077637,0.283325
214,-0.188232,-0.483032,1.19397
215,-0.523804,0.328003,1.770996
216,-0.214722,0.694824,0.751221
217,0.133667,0.515625,0.068604
218,0.047729,-0.418945,0.90918
219,-0.362305,-0.140381,1.580566
220,-0.488037,0.353271,1.459717
221,-0.125,0.71521,0.740112
222,0.138306,0.141479,0.176025
223,0.063599,-0.21521,0.513306
224,-0.294922,-0.32251,1.473877
