,accel_x,accel_y,accel_z
0,0.087402,0.735596,1.371826
1,-0.265991,0.996094,0.848877
2,-0.102051,0.871704,0.246094
3,0.233887,0.32019,-0.067017
4,0.255249,0.593506,0.910767
5,-0.198608,0.782959,1.214355
6,-0.340576,1.006958,0.741333
7,0.117798,0.647461,-0.069214
8,0.348755,0.255371,-0.048584
9,0.224243,0.35083,1.028198
10,-0.157837,0.846558,1.334351
11,-0.252319,1.094971,0.549561
12,0.181763,0.585327,-0.270264
13,0.369629,0.1521,0.518921
14,0.087646,0.25708,1.168823
15,-0.208862,0.756958,0.948242
16,-0.225098,1.160156,0.520752
17,0.237305,0.783081,-0.203125
18,0.372925,0.008179,0.379028
19,-0.162354,0.794312,1.46582
20,-0.359375,0.827515,0.960449
21,-0.323364,1.219849,0.72644
22,0.126343,0.701172,-0.149414
23,0.322632,0.419434,0.121704
24,0.251709,0.20166,0.743286
25,-0.130737,0.695557,1.276611
26,-0.469116,1.471924,0.826172
27,0.018799,0.960693,0.034668
28,0.283813,0.296509,-0.117554
29,0.172607,-0.008667,0.957031
30,-0.317139,1.126465,1.205688
31,-0.27771,0.647095,0.730103
32,-0.063965,1.025635,0.379517
33,0.248291,0.511719,-0.188843
34,0.194824,-0.056274,0.528931
35,-0.172607,0.844971,1.341553
36,-0.374512,1.342163,0.886719
37,-0.050903,0.953613,0.231445
38,0.206177,0.312134,0.135742
39,0.168823,-0.084839,1.05957
40,-0.230713,0.911621,1.38562
41,-0.333374,1.083496,0.769653
42,0.015869,0.79248,-0.185669
43,0.211182,0.286621,0.2229
44,-0.130859,-0.12146,1.415894
45,-0.414551,0.812378,1.05249
46,-0.248535,0.994263,0.45166
47,-0.047241,0.631958,-0.372437
48,0.053101,-0.412842,0.966431
49,-0.267578,1.158936,1.606201
50,-0.344727,1.088623,0.555054
51,0.004395,0.557617,-0.278442
52,0.150024,-0.170044,0.539185
53,-0.189087,0.815308,1.49707
54,-0.360718,1.25769,0.841309
55,-0.013306,0.472656,-0.419067
56,0.216797,-0.178101,1.00061
57,-0.253052,0.869507,1.265015
58,-0.346436,1.222412,0.779053
59,0.00708,0.047485,-0.469482
60,0.042114,-0.217285,1.33728
61,-0.432861,1.331787,1.392456
62,-0.217163,1.09082,0.294189
63,0.230713,-0.11145,0.154419
64,0.045288,0.193359,1.300659
65,-0.375366,1.022827,1.27002
66,-0.114624,0.904907,0.443237
67,0.200562,0.494751,0.16687
68,0.36792,0.400146,0.329102
69,0.305054,0.259399,0.85791
70,0.025146,0.252441,1.130127
71,-0.18042,0.55188,1.023438
72,-0.116943,0.967041,0.844849
73,0.134399,0.782349,0.366455
74,0.315552,0.647095,0.227905
75,0.402222,0.391724,0.54126
76,0.214966,0.217407,0.961426
77,-0.052368,0.608643,1.195801
78,-0.146484,0.710571,0.875
79,-0.000977,0.760376,0.646973
80,0.281738,0.651611,0.309082
81,0.430298,0.267822,0.177734
82,0.399658,0.232544,0.6875
83,0.188843,0.398193,1.165771
84,-0.023926,0.517578,1.164673
85,-0.097778,0.934448,0.945312
86,0.107788,0.756592,0.402344
87,0.324097,0.457153,0.200684
88,0.444214,0.401611,0.421265
