,accel_x,accel_y,accel_z
0,0.455078,0.122559,-0.895996
1,0.444458,0.093994,-0.932983
2,0.445923,0.093628,-0.924438
3,0.461914,0.116455,-0.888184
4,0.44104,0.110352,-0.937012
5,0.453369,0.10083,-0.871338
6,0.451294,0.121216,-0.900269
7,0.448364,0.113037,-0.900635
8,0.436035,0.090332,-0.937744
9,0.434082,0.109985,-0.922363
10,0.446167,0.101196,-0.897339
11,0.441895,0.142212,-0.913086
12,0.428467,0.084473,-0.922729
13,0.43811,0.096313,-0.917114
14,0.446533,0.125977,-0.880493
15,0.452393,0.146973,-0.88501
16,0.442017,0.1073,-0.913452
17,0.440063,0.135254,-0.921631
18,0.442993,0.111816,-0.889893
19,0.430908,0.111572,-0.920288
20,0.436401,0.134888,-0.942017
21,0.440063,0.100464,-0.896484
22,0.448242,0.144409,-0.869873
23,0.447876,0.123413,-0.884155
24,0.428467,0.112793,-0.903687
25,0.422974,0.120483,-0.918213
26,0.427856,0.125366,-0.894775
27,0.420776,0.139771,-0.926392
28,0.425293,0.130371,-0.903442
29,0.421387,0.143799,-0.906982
30,0.421997,0.131714,-0.913574
31,0.421997,0.105957,-0.918091
32,0.427124,0.146606,-0.920776
33,0.426025,0.14978,-0.912598
34,0.431396,0.136719,-0.891602
35,0.420532,0.154907,-0.924072
36,0.421021,0.148193,-0.914062
37,0.425537,0.151245,-0.918335
38,0.411133,0.119751,-0.935059
39,0.422974,0.148071,-0.898071
40,0.41687,0.141846,-0.948975
41,0.420898,0.133911,-0.890503
42,0.419922,0.151978,-0.917847
43,0.412476,0.137451,-0.920044
44,0.415405,0.137695,-0.910278
45,0.412842,0.147339,-0.915405
46,0.411499,0.143311,-0.918335
47,0.417847,0.142822,-0.896729
48,0.410767,0.120117,-0.911621
49,0.415649,0.125488,-0.893433
50,0.408447,0.114624,-0.935303
51,0.407104,0.126221,-0.949585
52,0.419067,0.143188,-0.929199
53,0.41333,0.151855,-0.937134
54,0.416138,0.148804,-0.888062
55,0.420654,0.11792,-0.887817
56,0.41748,0.123535,-0.900269
57,0.407104,0.139404,-0.927124
58,0.404541,0.127441,-0.91333
59,0.407349,0.117188,-0.908569
60,0.436768,0.133545,-0.944946
61,0.4104,0.154419,-0.899902
62,0.411865,0.147461,-0.909302
63,0.407593,0.141846,-0.918457
64,0.403076,0.123413,-0.918701
65,0.398682,0.116943,-0.947754
66,0.412354,0.152344,-0.886475
67,0.410767,0.146606,-0.901123
68,0.407349,0.160767,-0.92688
69,0.400879,0.103394,-0.900024
70,0.416626,0.142944,-0.893799
71,0.407715,0.150269,-0.917847
72,0.407227,0.125732,-0.908569
73,0.396606,0.144043,-0.948242
74,0.399414,0.144287,-0.929077
75,0.402466,0.143433,-0.927002
76,0.405029,0.117554,-0.89502
77,0.408203,0.164062,-0.894531
78,0.403076,0.176514,-0.940308
79,0.406494,0.166992,-0.900391
80,0.398682,0.16394,-0.938721
81,0.388306,0.130859,-0.936523
82,0.395996,0.159668,-0.912964
83,0.385376,0.138916,-0.962402
84,0.391113,0.133179,-0.944824
85,0.389771,0.167236,-0.961914
86,0.394531,0.133911,-0.915894
87,0.395752,0.171753,-0.928589
88,0.393066,0.1521,-0.925049
89,0.398804,0.141602,-0.900391
90,0.389282,0.167969,-0.956909
91,0.398071,0.161377,-0.92627
92,0.383423,0.13623,-0.956055
93,0.391357,0.144043,-0.916626
94,0.385864,0.160278,-0.926514
95,0.38501,0.172485,-0.929565
96,0.386353,0.194946,-0.947144
97,0.387939,0.152954,-0.949585
98,0.381958,0.117188,-0.913086
99,0.391968,0.138428,-0.898926
100,0.374634,0.16748,-0.927368
101,0.373047,0.138184,-0.958252
102,0.37793,0.164307,-0.947021
103,0.376587,0.142456,-0.912964
104,0.380005,0.140869,-0.934082
105,0.378906,0.144409,-0.934448
106,0.380249,0.154785,-0.917603
107,0.379517,0.151489,-0.912109
108,0.372314,0.157715,-0.938843
109,0.374268,0.144043,-0.943481
110,0.380981,0.156616,-0.936035
111,0.365356,0.133911,-0.922119
112,0.38269,0.151855,-0.920166
113,0.370117,0.129883,-0.94104
114,0.378418,0.159424,-0.927368
115,0.371582,0.185181,-0.952515
116,0.369873,0.137817,-0.937378
117,0.374268,0.167114,-0.936035
118,0.360596,0.166016,-0.96582
119,0.36731,0.126221,-0.924438
120,0.361938,0.162598,-0.955811
121,0.369751,0.149658,-0.924194
122,0.358887,0.143066,-0.961304
123,0.359619,0.146851,-0.943848
124,0.375488,0.168335,-0.935181
125,0.367065,0.175171,-0.932251
126,0.369019,0.153442,-0.933716
127,0.371582,0.161011,-0.93042
128,0.354858,0.144531,-0.94165
129,0.36084,0.136353,-0.934937
130,0.361816,0.130371,-0.92981
131,0.361206,0.176636,-0.94519
132,0.369995,0.15918,-0.900757
133,0.360352,0.132568,-0.927002
134,0.363403,0.171875,-0.934937
135,0.358398,0.129272,-0.944946
136,0.356567,0.161133,-0.955933
137,0.343994,0.125732,-0.95813
138,0.363159,0.16626,-0.930786
139,0.347412,0.155273,-0.960815
140,0.352051,0.143921,-0.931152
141,0.355103,0.143066,-0.942871
142,0.343628,0.156006,-0.957397
143,0.353271,0.141357,-0.935425
144,0.342407,0.130371,-0.960449
145,0.361328,0.162476,-0.937622
146,0.361694,0.131348,-0.897827
147,0.346191,0.125854,-0.941528
148,0.355713,0.16272,-0.9375
149,0.353394,0.136475,-0.94397
150,0.355591,0.155884,-0.93396
151,0.360229,0.173096,-0.928589
152,0.350464,0.13269,-0.9375
153,0.345581,0.139038,-0.958008
154,0.344116,0.135498,-0.945923
155,0.356689,0.115234,-0.888306
