,accel_x,accel_y,accel_z
0,0.874634,-0.009399,0.49939
1,0.871216,-0.017212,0.431152
2,0.865234,-0.025024,0.466064
3,0.869751,-0.03833,0.487061
4,0.864502,-0.00354,0.477051
5,0.856567,-0.06189,0.447998
6,0.873657,-0.030518,0.486938
7,0.869873,-0.046753,0.480469
8,0.875854,-0.061523,0.513184
9,0.888916,-0.067505,0.5271
10,0.873535,-0.054199,0.514648
11,0.866577,-0.070923,0.475952
12,0.856934,-0.051025,0.488037
13,0.864258,-0.071045,0.506714
14,0.859009,-0.075562,0.497437
15,0.857056,-0.078491,0.445557
16,0.853394,-0.082397,0.471191
17,0.856812,-0.052368,0.50293
18,0.865723,-0.040283,0.493652
19,0.863403,-0.044922,0.494751
20,0.862549,-0.098877,0.520752
21,0.860962,-0.045898,0.496216
22,0.871338,-0.012207,0.486206
23,0.866699,-0.038696,0.491089
24,0.864014,-0.055298,0.5
25,0.860352,-0.044678,0.486572
26,0.864624,-0.05896,0.491211
27,0.859009,-0.048462,0.496582
28,0.867188,-0.039795,0.490723
29,0.859741,-0.068848,0.490479
30,0.866455,-0.039917,0.484009
31,0.863403,-0.05542,0.495605
32,0.869385,-0.077026,0.500854
33,0.863647,-0.070557,0.487915
34,0.863525,-0.050903,0.523438
35,0.86438,-0.031372,0.511963
36,0.859375,-0.038574,0.503784
37,0.866699,0.011963,0.479858
38,0.859253,-0.016846,0.507324
39,0.869263,0.0,0.519775
40,0.858398,0.049072,0.488281
41,0.866089,-0.007935,0.501099
42,0.867065,-0.03418,0.500488
43,0.863403,0.010864,0.481689
44,0.860596,-0.049316,0.518311
45,0.859253,-0.005005,0.468872
46,0.8573,-0.039795,0.479248
47,0.860107,-0.02356,0.499634
48,0.867065,-0.000854,0.51123
49,0.861206,0.016357,0.452393
50,0.86853,0.016113,0.513062
51,0.859985,-0.048218,0.499634
52,0.863647,-0.005981,0.50293
53,0.856201,-0.00415,0.500244
54,0.861084,-0.03064,0.499146
55,0.86145,0.012817,0.478027
56,0.852051,-0.001831,0.494019
57,0.871338,-0.009033,0.52832
58,0.861694,-0.008423,0.490234
59,0.856201,0.037842,0.494141
60,0.85791,0.042114,0.49585
61,0.867676,0.001587,0.471436
62,0.865601,-0.004761,0.523315
63,0.858887,-0.000977,0.496948
64,0.856201,-0.021362,0.498657
65,0.868408,0.04895,0.505127
66,0.862305,0.011719,0.501221
67,0.859741,0.021362,0.500488
68,0.867798,-0.04187,0.528931
69,0.867188,0.033936,0.480103
70,0.869019,0.014038,0.479004
71,0.861938,-0.003418,0.496948
