,accel_x,accel_y,accel_z
0,0.250977,0.31958,0.907959
1,0.417236,0.011597,0.032471
2,0.341309,-0.050781,0.815063
3,0.109253,0.103027,1.460571
4,0.057617,0.052246,1.205933
5,0.395386,0.25293,0.46521
6,0.298828,-0.036133,0.348633
7,0.269653,0.137817,1.140137
8,-0.03479,0.148926,1.786865
9,0.109619,0.136719,0.920532
10,0.293579,0.212402,0.469604
11,0.290039,0.107788,0.391479
12,0.159912,0.255493,1.102783
13,-0.313965,0.168091,2.073608
14,0.06897,0.130127,0.864502
15,0.324829,0.133789,0.443604
16,0.232178,-0.091309,0.410278
17,0.07019,0.33374,1.306274
18,-0.278809,0.227661,1.543945
19,0.154907,0.108154,0.697998
20,0.32251,0.090332,-0.101807
21,0.171021,0.151733,0.834717
22,-0.11499,0.218994,1.555664
23,-0.062378,0.107788,1.21814
24,0.233276,0.248291,0.843384
25,0.262817,0.257446,0.48291
26,0.199585,0.376831,1.004272
27,-0.244751,0.125977,1.631348
28,-0.001831,0.205078,1.155151
29,0.290649,0.042236,0.498535
30,0.306274,0.072998,0.50061
31,0.108765,0.235962,1.133301
32,-0.277344,0.307739,1.814819
33,0.057129,0.182983,0.862427
34,0.347168,0.20813,0.314453
35,0.241455,0.144653,0.569214
36,0.054932,0.187988,0.958374
37,-0.280884,0.287354,1.609131
38,0.152832,0.177979,0.762451
39,0.303223,0.123047,-0.009033
40,0.22522,0.284912,0.647461
41,-0.086914,0.283691,1.412354
42,-0.106812,0.192139,1.258423
43,0.219482,0.253296,0.729126
44,0.293945,0.11438,0.205811
45,0.194702,0.168823,0.854126
46,-0.123657,0.1698,1.504883
47,-0.029175,0.304199,1.087646
48,0.26416,0.188965,0.49292
49,0.359131,0.195435,0.073486
50,0.176758,0.187622,0.945801
51,-0.158936,0.138428,1.549438
52,-0.050293,0.176147,1.052979
53,0.268799,0.113281,0.730957
54,0.288696,-0.000977,0.380859
55,0.152466,0.338989,1.228638
56,-0.297729,0.286621,1.906372
57,0.099243,0.158325,0.797852
58,0.33252,0.182861,0.256714
59,0.252808,0.117065,0.63562
60,-0.04187,0.254761,1.267944
61,-0.182861,0.202393,1.430542
62,0.181396,0.145996,0.64978
63,0.336182,0.162109,0.342163
64,0.180298,0.286255,0.829712
65,-0.199585,0.166504,1.527954
66,-0.102417,0.247681,1.208496
67,0.277954,0.099731,0.389771
68,0.300903,0.164062,0.46582
69,0.112549,0.207397,1.152954
70,-0.262695,0.255493,1.802124
71,0.046997,0.119019,0.990723
72,0.405518,0.213135,0.149536
73,0.252197,0.088867,0.534546
74,-0.006836,0.253174,1.242554
75,-0.314819,0.311157,1.807617
76,0.093018,0.090698,0.685791
77,0.381714,0.139771,0.019165
78,0.243774,0.151611,0.835327
79,-0.02002,0.170532,1.176636
80,-0.278687,0.421021,1.8396
81,0.140747,0.133423,0.76355
82,0.319824,0.127075,0.010254
83,0.2323,0.266602,0.596191
84,-0.138794,0.173462,1.47876
85,-0.124023,0.212524,1.31543
86,0.284424,0.219116,0.347412
87,0.333496,0.246948,0.426392
88,0.144897,0.310059,1.028931
89,-0.134399,0.129028,1.338501
90,-0.13147,0.265137,1.309937
91,0.195312,0.189941,0.920654
92,0.322754,0.17395,0.089111
93,0.218262,0.129639,0.706543
94,-0.041504,0.124756,1.276855
95,-0.182739,0.228394,1.714111
96,0.199951,0.133545,0.651733
97,0.285767,0.046509,0.00708
98,0.176147,0.288574,0.863281
99,-0.178345,0.137451,1.381592
100,-0.178833,0.151367,1.298218
101,0.254272,0.228027,0.531494
102,0.278564,0.141235,0.101929
103,0.132568,0.529297,1.272705
104,-0.423218,0.156616,1.984985
105,0.014526,0.109131,0.860229
106,0.361328,0.176636,0.347412
107,0.234863,0.067749,0.631592
108,-0.101807,0.196655,1.298828
109,-0.321899,0.164185,1.541016
110,0.194458,0.199707,0.657715
111,0.328125,0.088989,-0.133667
112,0.151855,0.378174,1.020752
113,-0.102051,0.125244,1.225464
114,-0.143433,0.282471,1.262329
115,0.196045,0.096436,0.776978
116,0.326416,0.158203,-0.048584
117,0.121338,0.235596,0.985962
118,-0.144897,0.284424,1.503784
119,-0.100098,0.252197,1.20752
120,0.272949,0.085938,0.493774
121,0.310669,0.186523,0.118286
122,0.059204,0.226318,1.200195
123,-0.364258,0.287354,1.981934
124,0.094604,0.131714,0.896973
125,0.318481,0.07251,0.224121
126,0.222412,0.165161,0.678955
127,-0.053223,0.343506,1.46167
128,-0.177368,0.288818,1.401245
129,0.22583,0.134521,0.73584
130,0.296997,0.018433,0.261475
131,0.204346,0.337402,0.903931
132,-0.208374,0.273438,1.762817
133,-0.07019,0.171021,1.187622
134,0.362671,0.265259,0.266235
135,0.269653,0.042847,0.508301
136,0.098755,0.518188,1.105103
137,-0.302856,0.30835,1.894897
138,0.02832,0.254761,0.82605
139,0.311401,0.147705,0.562744
140,0.261719,0.083008,0.502441
141,0.036377,0.37207,1.088379
142,-0.251221,0.341187,1.536255
143,0.176758,0.216309,0.770508
144,0.307373,0.047974,-0.341919
145,0.192017,0.324097,0.963867
146,-0.028564,0.294189,1.361816
147,-0.178345,0.38855,1.406372
148,0.174072,0.143066,0.481445
149,0.328125,0.189819,-0.056885
150,0.130005,0.278076,0.893433
151,-0.249146,0.508423,1.787842
152,-0.041748,0.232666,1.058105
153,0.299438,0.208252,0.474365
154,0.30542,0.001221,0.370972
155,0.120361,0.403931,1.017944
156,-0.249634,0.445312,1.836548
157,0.115356,0.125488,0.764648
158,0.33667,0.140137,0.011353
159,0.253906,0.305054,0.72229
160,-0.080322,0.375,1.404663
161,-0.105835,0.281006,1.327148
162,0.272217,0.164307,0.432007
163,0.315674,0.124023,0.091797
164,0.14856,0.0802,0.955688
165,-0.346069,0.436768,2.029663
166,0.015503,0.095215,0.837769
167,0.31665,0.166992,0.348389
168,0.291504,-0.042358,0.318726
169,0.08374,0.350586,1.199951
170,-0.241699,0.313354,1.569336
171,0.136963,0.257324,0.780396
172,0.314453,0.106323,0.113892
173,0.267944,0.285034,0.837524
174,-0.0271,0.358521,1.324341
175,-0.143066,0.246826,1.338867
176,0.228394,0.176147,0.50293
177,0.352173,0.162354,0.22644
178,0.123169,0.397705,1.043823
179,-0.284668,0.364502,2.016602
180,0.079346,0.219849,0.987427
181,0.382812,0.178833,0.101807
182,0.285156,0.208496,0.497437
183,0.075195,0.279419,1.152588
184,-0.202881,0.436523,1.811157
185,0.052734,0.220093,0.888184
186,0.322632,0.048218,0.210571
187,0.273315,0.267944,0.548096
188,-0.025513,0.299683,1.309448
189,-0.13501,0.349365,1.41687
190,0.20813,0.155884,0.675781
191,0.388062,0.118896,0.216919
192,0.243652,0.280518,0.845703
193,-0.166138,0.241455,1.667603
194,-0.051147,0.222412,1.207275
195,0.316895,0.192749,0.33606
196,0.406738,0.091064,0.242065
197,0.151245,0.276978,0.998901
198,-0.193115,0.244141,1.768921
199,-0.030396,0.122803,1.140991
200,0.28479,0.178101,0.68103
201,0.325073,0.130859,0.222656
202,0.145752,0.186157,0.9375
203,-0.298706,0.232788,2.025024
204,0.079102,0.196777,0.774414
205,0.345337,0.170898,0.424561
206,0.261353,0.116333,0.408203
207,0.023193,0.191895,1.387573
208,-0.144531,0.243896,1.579346
209,0.233887,0.220459,0.653442
210,0.343506,0.084961,0.002686
211,0.185059,0.059937,0.618774
212,-0.164307,0.11438,1.517578
213,-0.106689,0.086914,1.277344
214,0.282349,0.067017,0.383301
215,0.32373,0.097656,0.152954
216,0.049683,0.312622,1.276733
217,-0.276489,0.234741,2.035645
218,0.063232,0.050659,0.876831
219,0.360474,0.213257,0.313721
220,0.282959,0.313354,0.69043
221,0.002319,0.130249,1.253906
222,-0.247559,0.355225,1.750366
223,0.109375,0.168823,0.770386
224,0.35437,0.113525,0.23938
225,0.241699,0.057007,0.812866
226,-0.030273,0.181885,1.284058
227,-0.262085,0.230957,1.619507
228,0.182251,0.091187,0.665039
229,0.310059,0.012207,0.112427
230,0.215576,0.267456,0.568848
231,-0.072021,0.302856,1.568237
232,-0.085083,0.376099,1.430786
233,0.277344,0.224854,0.561646
234,0.317627,0.099976,0.082275
235,0.186035,0.332153,0.911377
