,accel_x,accel_y,accel_z
0,0.958984,-0.02124,0.244385
1,0.977783,0.017822,0.217407
2,0.983765,0.021729,0.262573
3,0.97168,0.014038,0.190552
4,0.97644,-0.062744,0.254761
5,0.996704,0.007812,0.262451
6,0.958984,0.008667,0.23938
7,0.995605,0.123169,0.273071
8,0.969116,0.08667,0.204468
9,0.977661,-0.055664,0.272949
10,0.977539,0.04834,0.288452
11,1.001953,-0.129761,0.283081
12,0.979248,-0.000488,0.230957
13,0.961914,0.051392,0.185669
14,0.996826,-0.005127,0.229248
15,0.97522,-0.047852,0.270996
16,0.980347,-0.018921,0.233032
17,0.988037,0.089111,0.248047
18,0.97229,0.089478,0.247559
19,0.985718,0.020142,0.22229
20,0.981079,0.016479,0.214355
21,0.964233,-0.033813,0.201294
22,0.970703,-0.012329,0.25415
23,0.965698,-0.035889,0.241333
24,0.974487,0.035767,0.240723
25,0.981567,0.012817,0.261597
26,0.968262,-0.032471,0.225952
27,0.980957,0.062378,0.271851
28,0.965088,0.046143,0.229004
29,0.964478,0.007202,0.213013
30,0.981445,0.026001,0.250488
31,0.98291,0.090576,0.252563
32,0.977173,0.061401,0.293579
33,0.970581,0.057861,0.250732
34,0.965332,-0.018188,0.230103
35,0.968628,-0.038696,0.214355
36,0.962646,0.138184,0.262939
37,0.974487,0.054321,0.30127
38,0.963135,0.005737,0.203247
39,0.969238,0.062622,0.287354
40,0.989624,0.05249,0.303101
41,0.974854,0.050659,0.273804
42,0.972656,0.028198,0.250854
43,0.970337,0.029907,0.21936
44,0.963013,0.021973,0.256958
45,0.956665,0.024658,0.206909
46,0.977661,0.058716,0.251587
47,0.968018,0.09668,0.236328
48,0.968384,-0.023926,0.281982
49,0.963379,0.052734,0.228149
50,0.967529,0.043213,0.251587
51,0.969971,0.057007,0.287231
52,0.952881,0.018066,0.223755
53,0.980713,0.081299,0.295776
54,0.965698,0.000488,0.263428
55,0.968018,0.113403,0.282471
56,0.973877,0.100586,0.272705
57,0.966553,0.033936,0.256348
58,0.761353,0.389893,0.185913
59,0.491943,1.036499,0.356445
60,-0.183716,1.597656,-0.392578
61,-0.089966,0.776245,-0.727661
62,0.219971,0.366577,-0.645752
63,0.531616,0.643555,-0.308228
64,0.42334,0.843994,-0.243164
65,0.151001,1.225586,-0.114136
66,-0.305298,1.140259,-0.734863
67,-0.136475,0.534912,-0.71875
68,0.163574,0.549438,-0.616699
69,0.462891,0.38147,-0.171021
70,0.412842,1.102295,-0.119629
71,-0.030396,1.223022,-0.540894
72,-0.249878,1.001221,-0.562866
73,-0.10437,0.544556,-0.623413
74,0.218506,0.192383,-0.505005
75,0.531616,0.646484,-0.084717
76,0.307373,1.035645,-0.043091
77,-0.138184,1.345947,-0.540527
78,-0.205811,0.96228,-0.63623
79,-0.124756,0.496216,-0.731689
80,0.286987,0.435547,-0.363159
81,0.459229,0.807129,-0.133057
82,0.226074,1.326416,-0.290527
83,-0.0896,1.152344,-0.5448
84,-0.159668,0.894653,-0.534302
85,0.075195,0.615601,-0.58252
86,0.225342,0.487915,-0.558838
87,0.432739,0.513184,-0.43689
88,0.38501,0.720581,-0.482788
89,0.317871,0.966187,-0.063965
90,0.067749,1.111328,-0.394409
91,-0.144897,1.193604,-0.624878
92,-0.017334,0.761963,-0.605591
93,0.159668,0.534424,-0.678223
94,0.302856,0.433838,-0.447266
95,0.469116,0.722168,-0.214111
96,0.265015,1.18457,-0.297607
97,0.028564,1.204956,-0.394165
98,-0.078857,1.082031,-0.513428
99,0.033569,0.770386,-0.525391
100,0.177856,0.619751,-0.657715
101,0.358154,0.477661,-0.374634
102,0.43103,0.703247,-0.313232
103,0.354248,1.02771,-0.198364
104,0.094849,1.070923,-0.340332
105,-0.139038,1.228027,-0.381958
106,-0.063232,0.912598,-0.477905
107,0.08606,0.770996,-0.485474
108,0.305786,0.741943,-0.447266
109,0.426514,0.562622,-0.352905
110,0.447266,0.758789,-0.279541
111,0.277344,1.260132,-0.138672
112,-0.006348,1.072021,-0.334717
113,-0.072998,1.036499,-0.474976
114,-0.001221,0.820068,-0.585693
115,0.149536,0.516724,-0.572754
116,0.343872,0.456909,-0.467896
117,0.465576,0.684692,-0.348877
118,0.350708,1.174927,-0.102173
119,0.084106,1.174683,-0.342285
120,-0.013672,1.164062,-0.316284
121,-0.017212,0.794189,-0.597046
122,0.194214,0.667114,-0.466675
123,0.37854,0.507568,-0.405273
124,0.435791,0.715942,-0.135742
125,0.275635,1.124634,-0.25647
126,0.049194,1.233521,-0.186768
127,-0.071045,1.212524,-0.360474
128,-0.006226,0.763062,-0.515259
129,0.14209,0.653442,-0.452148
130,0.302856,0.463135,-0.458252
131,0.455566,0.689575,-0.327271
132,0.414551,1.051636,-0.167358
133,0.130371,1.110718,-0.296875
134,0.023926,1.233154,-0.360474
135,0.025146,0.924072,-0.491089
136,0.126099,0.672729,-0.53772
137,0.348633,0.489868,-0.401611
138,0.468994,0.592773,-0.32251
139,0.465698,0.7146,-0.107178
140,0.168091,1.208374,-0.240967
141,-0.001465,1.123169,-0.321045
142,-0.059448,1.016846,-0.398315
143,0.036011,0.618164,-0.604614
144,0.189453,0.494385,-0.628174
145,0.368774,0.549194,-0.401489
146,0.42334,0.807983,-0.267212
147,0.328369,1.146606,0.174561
148,-0.096191,1.188477,-0.266235
149,-0.117554,0.971802,-0.430176
